,restaurante,Cocina
0,7 Delicatessen,Canarias
1,Aloha Poké,"Hawai: pokes, gazpacho, hummus"
2,Bagatella,"Mediterranea, peruana, ecológica"
3,Bazaar,Mediterránea con toque oriental
4,Boho Bar,"Mediterranea: ensaldas, pizzas, carnes, pescado"
5,Bosco de Lobos,Italiano y algo mas
6,Dionisos,Griego
7,Food Truck,Americano
8,Gioia Restaurante,Italiano
9,Hamburguesa Nostra,Italiano
10,Hot Now,"Pizza, guacamole, Hummus"
11,Izakaya Han,Japonés
12,Kuoco 360,Asiatico latino español
13,La Carmencita,Español
14,La Trastienda,"Español, raciones y paellas"
15,le cocó,"Mediterraneo, Perú, NY, Tokio"
16,Mal de Amores,Español sin paella
17,Morgana,Gallego
18,Restaurante Arce,Español sin paella
19,RESTAURANTE KRITIKOS,Griego
20,Roostiq,"Español con paellas, pescado y carne y algo más"
21,San Wich,"Hamburguesa, sandwich y gazpacho"
22,Sr. Ito,Japonés
23,Taberna El Buo,Español sin paella
24,Tepic,Mexicano
25,TE CATO,variado pero sin precios
26,tuk tuk,Asian street food
27,Vides,Sin precios
